canonical_paper_id,title,venue,year,paper_type,doi
"""durability-bargaining""-deadline-yildiz_nodate_durable-bargaining-power-and-stochastic-deadlines",Durable Bargaining Power and Stochastic Deadlines,,,published,
#27532-gruber-malani-others)_nodate_adaptive-control-of-covid19-outbreaks-in-india-local-gradual,"“Adaptive Control of COVID-19 Outbreaks in India: Local, Gradual and Trigger-Based Exit Paths from Lockdown,”",,,published,
(1)-164-203-appendices-olken_2020_the-development-effects-of-the-extractive-colonial-economy-t,The Development Effects of the Extractive Colonial Economy: The Dutch Cultivation System in Java,Review of Economic Studies 87,2020,published,
(18)-exchanges-fudenberg_nodate_machine-learning-for-evaluating-and-improving-theories,Machine Learning for Evaluating and Improving Theories,,,published,
(2)-150-175-data-olken-programs_2009_a-biological-model-of-unions,A Biological Model of Unions,American Economic Journal: Applied Economics,2009,published,
(2009)-behavior-games-wolitzky_2009_fully-sincere-voting,Fully Sincere Voting,Games and Economic Behavior,2009,published,
(2010)-economics-wolitzky_2010_dynamic-monopoly-with-relational-incentives,Dynamic Monopoly with Relational Incentives,Theoretical Economics,2010,published,
(2011)-behavior-games-wolitzky_2011_indeterminacy-of-reputation-effects-in-repeated-games-with-c,Indeterminacy of Reputation Effects in Repeated Games with Contracts,Games and Economic Behavior,2011,published,
(2013)-behavior-games-wolitzky_2013_endogenous-institutions-and-political-extremism,Endogenous Institutions and Political Extremism,Games and Economic Behavior,2013,published,
(2015)-economics-wolitzky_2015_communication-with-tokens-in-repeated-games-on-networks,Communication with Tokens in Repeated Games on Networks,Theoretical Economics,2015,published,
(2016)-economics-wolitzky_2016_mechanism-design-with-maxmin-agents-theory-and-an-applicatio,Mechanism Design with Maxmin Agents: Theory and an Application to Bilateral Trade,Theoretical Economics,2016,published,
(2017)-economics-wolitzky_2017_bounding-equilibrium-payoffs-in-repeated-games-with-private-,Bounding Equilibrium Payoffs in Repeated Games with Private Monitoring,Theoretical Economics,2017,published,
(2020)-pnas-wolitzky_2020_indirect-reciprocity-with-simple-records,Indirect Reciprocity with Simple Records,PNAS,2020,published,
(2022)-directions-research-wolitzky_2022_reputational-bargaining,Reputational Bargaining,Bargaining: Current Research and Future Directions,2022,published,
(2023)-economics-wolitzky_2023_bad-apples-in-symmetric-repeated-games,Bad Apples in Symmetric Repeated Games,Theoretical Economics,2023,published,
(2024)-conflict-wolitzky_2024_mistrust-misperception-and-misunderstanding-imperfect-inform,"Mistrust, Misperception, and Misunderstanding: Imperfect Information and Conflict Dynamics",Handbook of the Economics of Conflict,2024,published,
(2024)-economics-wolitzky_2024_distributions-of-posterior-quantiles-via-matching,Distributions of Posterior Quantiles via Matching,Theoretical Economics,2024,published,
(2025)-congress-economics-wolitzky_2025_cooperation-in-large-societies,Cooperation in Large Societies,Advances in Economics and Econometrics: Twelfth World Congress,2025,published,
(2025)-economics-wolitzky_2025_nonrecursive-dynamic-incentives-a-rate-of-convergence-approa,Non-Recursive Dynamic Incentives: A Rate of Convergence Approach,Theoretical Economics,2025,published,
(3)--864-data-olken-programs_2005_do-leaders-matter-national-leadership-and-growth-since-world,Do Leaders Matter? National Leadership and Growth Since World War II,Quarterly Journal of Economics,2005,published,
(3)-2008-582–587-economics-olken_2008_the-anatomy-of-startstop-growth,The Anatomy of Start-Stop Growth,Review of Economics and Statistics,2008,published,
(3)-2014-89-108-olken_2014_the-missing-missing-middle,"The Missing ""Missing Middle""",Journal of Economic Perspectives 28,2014,published,
)-burgess-deschenes-donaldson_nodate_weather-and-death-in-india,Weather and Death in India,,,published,
1-1998-3-32-gruber-policy_1998_unemployment-insurance-consumption-smoothing-and-private-ins,"“Unemployment Insurance, Consumption Smoothing, and Private Insurance: Evidence from the PSID and CEX,”",Research in Employment Policy,1998,published,
1-28-2001-ed-gruber-press_2001_risky-behavior-among-youth-an-economic-analysis-introduction,"“Risky Behavior Among Youth: An Economic Analysis, Introduction”",University of Chicago Press,2001,published,
1-40-2004-eds-gruber-press-programs-wise_2004_social-security-programs-and-retirement-around-the-world-mic,"“Social Security Programs and Retirement Around the World: Micro Estimation - Introduction and Summary,”",University of Chicago Press,2004,published,
1-59-5)-atkin)-donaldson-eds-gopinath-helpman-rogoff_2022_the-role-of-trade-in-economic-development,The Role of Trade in Economic Development,Handbook of International Economics (Volume 5),2022,published,
1-acuc-gruber-papers-washington_nodate_unemployment-insurance-consumption-smoothing-and-private-ins,"“Unemployment Insurance, Consumption Smoothing, and Private Insurance: Evidence from the PSID and CEX,”",,,published,
1-forum-gruber_nodate_the-case-for-new-cities,"“The Case For New Cities,”",,,published,
10-13-2009-gruber-pathways_2009_the-case-for-a-twotier-health-system,"“The Case for a Two-Tier Health System,”",Pathways,2009,published,
11-169-211-cambridge-ed-gruber-policy-poterba-press_nodate_health-insurance-for-poor-women-and-children-in-the-us-lesso,"“Health Insurance for Poor Women and Children in the U.S.: Lessons from the Past Decade,”",MIT Press,,published,
112-2022-chodorow-reich-ganong)-gruber-papers-proceedings_2022_should-we-have-automatic-triggers-for-unemployment-benefit-d,"“Should We Have Automatic Triggers for Unemployment Benefit Duration And How Costly Would They Be?,”",AEA Papers and Proceedings,2022,published,
11344-11349-fudenberg-sciences_nodate_indirect-reciprocity-with-simple-records,Indirect Reciprocity with Simple Records,,,published,
1155-1189-fudenberg_nodate_active-learning-with-a-misspecified-prior,Active learning with a misspecified prior,,,published,
12-1998-economy-hausman-policy_1998_taxation-by-telecommunications-regulation,Taxation By Telecommunications Regulation,"Tax Policy and the Economy, Volume 12",1998,published,
1271–1315-economics-fudenberg_nodate_which-misspecifications-persist,Which Misspecifications Persist?,,,published,
130-132-2010-gruber-significance_2010_fundamental-health-care-reform-for-the-united-states,"“Fundamental Health Care Reform for the United States,”",Significance,2010,published,
1337-1987-banerjee-paper-september_nodate_on-frequent-flyer-programs-and-other-loyaltyinducing-economi,On Frequent Flyer Programs and other Loyalty-Inducing Economic Arrangements,,,published,
135-172-economics-fudenberg_nodate_learning-dynamics-with-social-comparisons-and-limited-memory,Learning Dynamics with Social Comparisons and Limited Memory,,,published,
14-19-2006-36(5)-gruber-report_2006_the-massachusetts-health-care-revolution-a-local-start-for-u,"“The Massachusetts Health Care Revolution: A Local Start for Universal Coverage,”",Hastings Center,2006,published,
1407–1439-economics-fudenberg_nodate_pathwise-concentration-bounds-for-bayesian-beliefs,Pathwise Concentration Bounds for Bayesian Beliefs,,,published,
146-162-2002-21(2)-affairs-gruber_2002_the-economics-of-tobacco-regulation,"“The Economics of Tobacco Regulation,”",Health Affairs,2002,published,
15-40-fudenberg_nodate_completion-of-the-proof-of-proposition-4-in-interim-correlat,"Completion of the Proof of Proposition 4 in ""Interim Correlated Rationalizability"".",,,published,
156(9)-2012-cutler)-gruber-medicine_2012_the-affordable-care-act-is-constitutional,"“The Affordable Care Act is Constitutional,”",Annals of Internal Medicine,2012,published,
16(1)-1997-affairs-cutler)-gruber_1997_medicaid-and-private-insurance-evidence-and-policy-implicati,"“Medicaid and Private Insurance: Evidence and Policy Implications,”",Health Affairs,1997,published,
16-2002-37-66-ed-gruber-policy-poterba-press_2002_taxes-and-health-insurance,"“Taxes and Health Insurance,”",MIT Press,2002,published,
162(1)-2015-chaloupka-gruber-medicine-warner)_2015_accounting-for-lost-pleasure-in-a-costbenefit-analysis-of-go,"“Accounting for ‘Lost Pleasure’ in a Cost-Benefit Analysis of Government Regulation: The Case of the Food and Drug Administration’s Proposed Cigarette Labeling Regulation,”",Annals of Internal Medicine,2015,published,
18-1999-economics-gruber-wise)_1999_social-security-programs-and-retirement-around-the-world,"“Social Security Programs and Retirement Around the World,”",Research in Labor Economics,1999,published,
18-2007-gale-gruber-notes-stephens-davidowitz)_2007_encouraging-homeownership-through-the-tax-code,"“Encouraging Homeownership Through the Tax Code,”",Tax Notes,2007,published,
19(1)-2000-affairs-gruber-levitt)_2000_tax-subsidies-for-health-insurance-costs-and-benefits,"“Tax Subsidies for Health Insurance: Costs and Benefits,”",Health Affairs,2000,published,
1994-economics-foundation-gruber-iii-shapiro-washington_nodate_payroll-taxation-in-the-united-states-assessing-the-alternat,"“Payroll Taxation in the United States: Assessing the Alternatives,”",,,published,
1996-aaron-eds-gale-gruber-poterba)-reform_nodate_fundamental-tax-reform-and-employerprovided-health-insurance,"“Fundamental Tax Reform and Employer-Provided Health Insurance,”",,,published,
1996-aging-ed-gruber-madrian)-wise_nodate_health-insurance-and-early-retirement-evidence-from-the-avai,"“Health Insurance and Early Retirement: Evidence from the Availability of Continuation Coverage,”",,,published,
1996-feldstein-gruber-poterba-poterba)-press-taxation_1996_tax-subsidies-to-employerprovided-health-insurance,"“Tax Subsidies to Employer-Provided Health Insurance,”",University of Chicago Press,1996,published,
1997-hausman-macroeconomics_1997_valuation-and-the-effect-of-regulation-on-new-services-in-te,Valuation and the Effect of Regulation on New Services in Telecommunications,Brookings Papers: Macroeconomics,1997,published,
1997:1-activity-dynarski)-gruber_1997_can-families-smooth-variable-earnings,"“Can Families Smooth Variable Earnings?,”",Brookings Papers on Economic Activity,1997,published,
1999-73-100-gruber-press-security-wise-world_1999_social-security-and-retirement-in-canada,"“Social Security and Retirement in Canada,”",University of Chicago Press,1999,published,
1999-diamond)-gruber-press-security-wise-world_1999_social-security-and-retirement-in-the-us,"“Social Security and Retirement in the U.S.,”",University of Chicago Press,1999,published,
1999-gruber-press-security-wise-wise)-world_1999_social-security-and-retirement-around-the-world-introduction,"“Social Security and Retirement Around the World: Introduction and Summary,”",University of Chicago Press,1999,published,
2-2006-banerjee-forum_nodate_comment-on-buiterpatel,Comment on Buiter-Patel,,,published,
2-2019-economics-schilbach_nodate_behavioral-development-economics,Behavioral Development Economics,Handbook of Behavioral Economics,,published,
2-barrage-economics-elsevier-forthcoming-hsiang-moscona_nodate_the-economics-of-climate-innovation-technology-climate-polic,"The Economics of Climate Innovation: Technology, Climate Policy, and the Clean Energy Transition","Handbook of Climate Change Economics, Volume 2",,published,
20-agarwal-commentary-frank-glied-gruber-primus)_nodate_a-home-care-benefit-for-medicare,"“A Home Care Benefit for Medicare,”",,,published,
2000-223-228-alpert-benefits-canada-gruber-institute-kalamazoo-states-woodbury_nodate_payroll-taxation-employer-mandates-and-the-labor-market-theo,"“Payroll Taxation, Employer Mandates, and the Labor Market: Theory, Evidence, and Unanswered Questions,”",,,published,
2000-645-706-culyer-eds-gruber-holland-newhouse_nodate_health-insurance-and-the-labor-market,"“Health Insurance and the Labor Market,”",,,published,
2000-families-fund-gruber_2000_transitional-subsidies-for-health-insurance-coverage,"“Transitional Subsidies for Health Insurance Coverage,”",The Commonwealth Fund,2000,published,
2001-65-86-ed-gruber-institute-kalamazoo-zhu_2001_covering-the-uninsured-incremental-policy-options-for-the-us,"“Covering the Uninsured: Incremental Policy Options for the U.S.,”",The Political Economy of Health Care Reforms,2001,published,
2001-auerbach-cambridge-change-eds-gruber-lee-press-wise)_2001_social-security-and-retirement-around-the-world,“Social Security and Retirement Around the World”,Cambridge University Press,2001,published,
2001-chicago-coile)-ed-gruber-press-wise_2001_social-security-incentives-for-retirement,"“Social Security Incentives for Retirement,”",University of Chicago Press,2001,published,
2001-ed-gruber-press-zinman)_2001_youth-smoking-in-the-us-evidence-and-implications,"“Youth Smoking in the U.S.: Evidence and Implications,”",University of Chicago Press,2001,published,
2002-2003-25(4)-52-57-gruber-regulation_2002_smokings-internalities,"“Smoking’s ‘Internalities’,”",Regulation,2002,published,
2002-27-53-3(3)-economics-gruber_2002_regulating-tobacco-in-the-united-states-the-government-and-t,"“Regulating Tobacco in the United States: The Government and the Court Room,”",World Economics,2002,published,
2002-altman-baltimore-economic-eds-gruber-press-schactman-wise)_2002_an-international-perspective-on-policies-for-an-aging-societ,"“An International Perspective on Policies for an Aging Society,”",Johns Hopkins Press,2002,published,
2002-europe-feldstein-gruber-press-wise)_2002_different-approaches-to-pension-reform-from-an-economic-poin,"“Different Approaches to Pension Reform from an Economic Point of View,”",University of Chicago Press,2002,published,
2004-baker-eds-gruber-milligan)-press-programs-wise_2004_income-security-programs-and-retirement-in-canada,"“Income Security Programs and Retirement in Canada,”",University of Chicago Press,2004,published,
2004-coile)-eds-gruber-press-programs-wise_2004_the-effect-of-social-security-on-retirement-in-the-united-st,"“The Effect of Social Security on Retirement in the United States,”",University of Chicago Press,2004,published,
2004-ed-gruber-madrian)-mclaughlin-policy-press-washington_2004_health-insurance-labor-supply-and-job-mobility-a-critical-re,"“Health Insurance, Labor Supply, and Job Mobility: A Critical Review of the Literature,”",Urban Institute Press,2004,published,
2005-39-63-cambridge-ed-gruber-policy-poterba-press_2005_tax-policy-for-health-insurance,"“Tax Policy for Health Insurance,”",MIT Press,2005,published,
2006-auerbach-card-eds-engelhardt)-foundation-gruber-policy-quigley_2006_social-security-and-the-evolution-of-elderly-poverty,"“Social Security and the Evolution of Elderly Poverty,”",Russell Sage Foundation,2006,published,
2006-foundation-gruber_2006_the-role-of-consumer-copayments-for-health-care-lessons-from,“The Role of Consumer Copayments for Health Care: Lessons from the RAND Health Insurance Experiment and Beyond.”,Kaiser Family Foundation,2006,published,
2007-auerbach-eds-gruber-hines-press-rauh)-slemrod_2007_how-elastic-is-the-corporate-income-tax-base,"“How Elastic is the Corporate Income Tax Base,”",Cambridge University Press,2007,published,
2007-baker-gruber-milligan)-press-programs-wise_2007_simulating-the-response-to-reform-of-canadas-income-security,"“Simulating the Response to Reform of Canada’s Income Security Programs,”",University of Chicago Press,2007,published,
2007-coile)-gruber-press-programs-wise_2007_the-fiscal-implications-of-social-security-reform-in-the-us,"“The Fiscal Implications of Social Security Reform in the U.S.,”",University of Chicago Press,2007,published,
2007-economics-fudenberg-systems_nodate_behaviorbased-price-discrimination-and-customer-recognition,Behavior-Based Price Discrimination and Customer Recognition,,,published,
2007-gruber-press-programs-wise-wise)_2007_social-security-programs-and-retirement-around-the-world-fis,"“Social Security Programs and Retirement Around the World: Fiscal Implications of Reform, Introduction and Summary,”",University of Chicago Press,2007,published,
2009-ed-gruber-press_2009_introduction-what-have-we-learned-about-the-problems-of-and-,"“Introduction: What Have We Learned About the Problems of and Prospects for Disadvantaged Youth?,”",University of Chicago Press,2009,published,
2010-eds-employment-gruber-press-programs-wise_nodate_introduction-to-social-security-programs-and-retirement-arou,"“Introduction to Social Security Programs and Retirement Around the World: The Relationship to Youth Employment,”",University of Chicago Press,,published,
2010-gruber-progress_2010_why-we-need-an-individual-mandate,"“Why We Need an Individual Mandate,”",Center for American Progress,2010,published,
2011-30-affairs-gruber-long)_2011_projecting-the-impact-of-the-affordable-care-act-on-californ,"“Projecting the Impact of the Affordable Care Act on California,”",Health Affairs,2011,published,
2011-gruber-progress_2011_be-careful-what-you-wish-for-repeal-of-the-affordable-care-a,"“Be Careful What You Wish For: Repeal of the Affordable Care Act Would be Harmful to Society and Costly for Our Country,”",Center for American Progress,2011,published,
2011-gruber-progress_2011_health-care-reform-without-the-individual-mandate-replacing-,"“Health Care Reform Without the Individual Mandate: Replacing the Individual Mandate Would Significantly Erode Coverage Gains and Raise Premiums for Health Care Consumers,”",Center for American Progress,2011,published,
2012-4-479-505-olken_2012_corruption-in-developing-countries,Corruption in Developing Countries,Annual Review of Economics 4,2012,published,
2013-gruber-spiro)_2013_the-affordable-care-acts-lowerthanprojected-premiums-will-sa,"“The Affordable Care Act’s Lower-Than-Projected Premiums Will Save $190 Billion,”",Center for American Progress,2013,published,
2014-gruber-report_2014_growth-and-variability-in-health-plan-premiums-in-the-indivi,"“Growth and Variability In Health Plan Premiums in the Individual Insurance Market Before the Affordable Care Act,”",Commonwealth Fund,2014,published,
2016-august-gruber-institute_2016_expanding-financial-security-for-workers-in-the-new-economy,"“Expanding Financial Security for Workers in the New Economy,”",Aspen Institute,2016,published,
2016-banerjee-economics_2016_the-influence-of-randomized-controlled-trials-on-development,The Influence of Randomized Controlled Trials on Development Economic Research and on Development Policy,"Paper prepared for the World Bank's ""The State of Economics, The State of the World Conference. September 2016",2016,published,
2016-fudenberg_nodate_records-and-recaps-learning-and-nonequilibrium-behavior-in-a,Records and Recaps: Learning and Non-Equilibrium Behavior in a Simple Decision Problem,,,published,
2017-36(3)-afendulis-affairs-chernew)-gruber-hatfield-landon-landrum-mechanic-zinner_2017_early-impact-of-carefirsts-patientcentered-medical-home-with,"“Early Impact of CareFirst’s Patient-Centered Medical Home with Strong Financial Incentives,”",Health Affair,2017,published,
2017-36-affairs-gruber-sommers)_2017_federal-funding-insulated-state-budgets-from-increased-spend,"“Federal Funding Insulated State Budgets from Increased Spending Related to Medicaid Expansion,”",Health Affairs,2017,published,
